운행요일,노선ID,출발구역,승차정류장,목적구역,출발시각,도착시각
금,B-evening,본관,운동장,엔터관,19:50,19:55
금,B-evening,예인관,엔터관,본관,19:55,20:00
금,A-evening,원룸촌,원룸촌,본관,20:45,20:50
금,A-evening,본관,운동장,엔터관,20:50,20:55
금,B-evening,본관,운동장,엔터관,20:50,20:55
금,B-evening,예인관,엔터관,본관,20:55,21:00
금,A-evening,원룸촌,원룸촌,본관,21:25,21:30
금,A-evening,본관,운동장,엔터관,21:30,21:35
금,B-evening,본관,운동장,엔터관,21:30,21:35
금,B-evening,예인관,엔터관,본관,21:35,21:40
금,A-evening,원룸촌,원룸촌,본관,21:45,21:50
금,A-evening,본관,운동장,엔터관,21:50,21:55
금,B-evening,본관,운동장,엔터관,21:50,21:55
금,B-evening,예인관,엔터관,본관,21:55,22:00
일,C,원룸촌,원룸촌,엔터관,17:00,17:10
일,C,예인관,엔터관,원룸촌,17:10,17:20
일,C,원룸촌,원룸촌,엔터관,18:00,18:10
일,C,예인관,엔터관,원룸촌,18:10,18:20
일,C,원룸촌,원룸촌,엔터관,19:00,19:10
일,C,예인관,엔터관,원룸촌,19:10,19:20
일,C,원룸촌,원룸촌,엔터관,20:00,20:10
일,C,예인관,엔터관,원룸촌,20:10,20:20
일,C,원룸촌,원룸촌,엔터관,21:00,21:10
일,C,예인관,엔터관,원룸촌,21:10,21:20
